"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2563                1.620764e+00        1.080000e+02        1.034408e+01        2.720475e+02        1.156651e+02        
2564                1.626926e+00        1.010000e+02        1.000000e+01        2.975791e+02        1.241252e+02        
2565                1.633089e+00        1.070000e+02        1.029563e+01        3.261218e+02        1.334936e+02        
2566                1.639252e+00        1.270000e+02        1.122497e+01        3.580108e+02        1.439447e+02        
2567                1.645414e+00        1.440000e+02        1.195826e+01        3.936115e+02        1.555316e+02        
2568                1.651577e+00        1.460000e+02        1.204159e+01        4.333206e+02        1.684626e+02        
2569                1.657739e+00        1.750000e+02        1.319091e+01        4.775673e+02        1.828597e+02        
2570                1.663902e+00        1.640000e+02        1.276715e+01        5.268151e+02        1.988630e+02        
2571                1.670065e+00        2.300000e+02        1.513275e+01        5.815626e+02        2.167179e+02        
2572                1.676227e+00        2.400000e+02        1.545962e+01        6.423443e+02        2.365045e+02        
2573                1.682390e+00        2.700000e+02        1.640122e+01        7.097318e+02        2.585523e+02        
2574                1.688552e+00        2.740000e+02        1.652271e+01        7.843338e+02        2.829782e+02        
2575                1.694715e+00        3.070000e+02        1.749286e+01        8.667967e+02        3.101290e+02        
2576                1.700878e+00        3.450000e+02        1.854724e+01        9.578041e+02        3.403090e+02        
2577                1.707040e+00        3.900000e+02        1.972308e+01        1.058076e+03        3.736271e+02        
2578                1.713203e+00        3.700000e+02        1.920937e+01        1.168369e+03        4.105732e+02        
2579                1.719365e+00        4.550000e+02        2.130728e+01        1.289474e+03        4.512899e+02        
2580                1.725528e+00        4.920000e+02        2.215852e+01        1.422212e+03        4.963086e+02        
2581                1.731691e+00        5.380000e+02        2.317326e+01        1.567438e+03        5.459525e+02        
2582                1.737853e+00        5.270000e+02        2.293469e+01        1.726031e+03        6.005272e+02        
2583                1.744016e+00        6.140000e+02        2.475884e+01        1.898892e+03        6.606273e+02        
2584                1.750178e+00        7.530000e+02        2.742262e+01        2.086945e+03        7.264216e+02        
2585                1.756341e+00        7.810000e+02        2.792848e+01        2.291125e+03        7.986265e+02        
2586                1.762504e+00        8.950000e+02        2.989983e+01        2.512375e+03        8.775088e+02        
2587                1.768666e+00        9.380000e+02        3.061046e+01        2.751640e+03        9.637258e+02        
2588                1.774829e+00        1.043000e+03        3.228002e+01        3.009862e+03        1.057898e+03        
2589                1.780991e+00        1.115000e+03        3.337664e+01        3.287967e+03        1.160191e+03        
2590                1.787154e+00        1.196000e+03        3.456877e+01        3.586861e+03        1.271497e+03        
2591                1.793317e+00        1.379000e+03        3.712142e+01        3.907421e+03        1.392063e+03        
2592                1.799479e+00        1.529000e+03        3.908964e+01        4.250481e+03        1.522731e+03        
2593                1.805642e+00        1.701000e+03        4.123106e+01        4.616830e+03        1.664043e+03        
2594                1.811804e+00        1.780000e+03        4.217819e+01        5.007190e+03        1.816380e+03        
2595                1.817967e+00        1.947000e+03        4.411349e+01        5.422218e+03        1.980616e+03        
2596                1.824130e+00        2.081000e+03        4.560702e+01        5.862483e+03        2.156951e+03        
2597                1.830292e+00        2.316000e+03        4.811445e+01        6.328462e+03        2.346274e+03        
2598                1.836455e+00        2.548000e+03        5.046781e+01        6.820526e+03        2.548935e+03        
2599                1.842617e+00        2.730000e+03        5.223983e+01        7.338930e+03        2.765575e+03        
2600                1.848780e+00        3.004000e+03        5.479964e+01        7.883796e+03        2.996876e+03        
2601                1.854943e+00        3.195000e+03        5.651548e+01        8.455110e+03        3.242916e+03        
2602                1.861105e+00        3.656000e+03        6.045660e+01        9.052706e+03        3.504481e+03        
2603                1.867268e+00        3.664000e+03        6.052272e+01        9.676259e+03        3.781766e+03        
2604                1.873430e+00        4.105000e+03        6.406247e+01        1.032527e+04        4.075282e+03        
2605                1.879593e+00        4.494000e+03        6.702984e+01        1.099907e+04        4.385402e+03        
2606                1.885756e+00        4.593000e+03        6.776430e+01        1.169680e+04        4.712184e+03        
2607                1.891918e+00        4.991000e+03        7.063993e+01        1.241741e+04        5.056020e+03        
2608                1.898081e+00        5.508000e+03        7.420916e+01        1.315965e+04        5.416910e+03        
